,text,emotion,length
11,"친구가 내 말을 무시하고 자기 얘기만 했다. 내가 힘들다고 얘기했을 땐 '다 그런 거야' 한 마디로 넘기더니, 정작 자기 고민은 몇 시간이나 털어놓았다. 그런 관계가 지겹고, 내 감정이 하찮게 느껴져서 화가 났다",분노,118
12, 이거 붙여넣기 되는 줄 알고 메모에 일기를 길게 다 적어놨는데 붙여넣기가 안 돼서 당황했다. 거짓말이었으면 좋겠다... 그냥 새로 써야지. 독서종합시스템 할 때도 이랬었는데 갑자기 그 때 생각이 나서 또 억울하다.,분노,120
13,불 꺼진 방에 혼자 있을 때면 괜히 누군가 있는 것 같은 착각이 든다. 어릴 땐 금방 사라지던 이런 공포가 요즘은 진짜처럼 느껴진다. 아무도 나를 지켜주지 않는다는 생각에 문을 몇 번이고 다시 확인하고서야 잠이 든다.,두려움,121
14,"시험 결과 발표가 내일인데 자꾸 안 좋은 상상만 떠오른다. 혹시나 떨어지면 어쩌지, 내 미래는 어떻게 되는 걸까 하는 불안감에 하루 종일 아무것도 손에 잡히지 않았다. 결과가 나오기 전까지는 아무 말도 듣고 싶지 않다.",두려움,122
15,"계속되는 회사 구조조정 소식에 마음이 편하지 않다. 내 자리가 언제까지 보장될 수 있을지 확신이 없다. 팀장님의 눈빛도 이상하게 느껴지고, 괜히 모든 게 내 탓인 것 같아 위축된다. 불안한 마음이 나를 삼켜버리는 것 같다.",두려움,124
16,"오늘 아침, 낯선 번호로 온 전화를 받지 못했는데 그 뒤로 계속 찝찝한 기분이 든다. 아무 일도 아닐 수 있지만, 요즘 이상한 뉴스가 많아서 괜히 불안하다. 혹시 누가 나를 지켜보고 있는 건 아닐까, 점점 겁이 많아지고 있다.",두려움,126
17,요즘 들어 가슴이 자주 두근거리고 숨이 막히는 기분이 든다. 병원에 가야 할까 고민하면서도 괜히 더 무서워서 미루고 있다. 무슨 큰 병이 있는 건 아닐까 하는 걱정이 머릿속에서 떠나질 않는다. 나 자신이 점점 무너지는 기분이다.,두려움,127
18," 글을 읽는 것은 쉬운 데 글을 쓰는 것은 어렵다. 무엇을 소재로 해야 할 지, 시작은 어떻게 해야 할 지, 끝은 어떻게 맺어야 할 지 모든 것을 정해야 한다. 주제를 주고 양식을 지켜서 글을 쓰는 것이 자유롭게 글을 쓰라는 것보다 더 쉽다.",두려움,135
19," 궁금하다. 약간의 사적인 감정이 없다고는 못하겠다. 그래도 어쨌거나 직접 만나고 싶다. 우리는 서로를 잘 이해할 것 같으니까. 좋은 친구가 될 수 있지 않을까. 팬이 아니라 동료로서 만나고 싶었다는게 무슨 말인지, 이제는 조금 알 것도 같다.",unknown,136
20, 글쓰기를 시작하기 전까지 한 글자도 보지 않는다는 조건을 정확히 맞추려면 디지털 기기를 사용하는 건 곤란한가. 지난밤에도 뭔가 서사적인 꿈을 꿨는데 내용은 잘 기억나지 않는다. 언어 공해에서 벗어나고 싶다. 매일 보고 듣는 것이 나를 만드는 법인데....,unknown,143
21, 내 나이 마흔 하나. 언제 이렇게 나이를 먹었지? 그런데도 나는 여전히 나를 모르겠다. 그래서 쓴다. 나를 알기 위해서. 나에 대하여 떠오르는 걸 써 보자. 그 모든 것들이 나이겠지. 그러면 조금은 나를 알게 되겠지. 그래서 쓴다. 나를 사랑하기  위해서.,두려움,144
23," 나는 디즈니 진짜 많은 인종이 나오는데 그 와중에 동북아시아 동양인은 뮬란말고는 안 나온다는게 참 사람이 아니라 다른 종 취급하는 것 같아서 참 슬퍼했는데, 이번 인어공주때 피씨하다고 생각 됐던 존잘님 조차도 흑인 캐스팅에 대해 원충 안 된다고 그러는걸 보면서 사람들한테 환멸 느낀다.",분노,160
22, 인생은 너무나 귀찮다. 흠 음 어 음 어... 며칠전에 꿈을 꿨는데 꿈속에서 그년을 만났다. 그런데 그년도 나도 서로 아무일도 없었다는 듯이 웃으면서 인사하고 그 간의 일을 모른척 했다. 분명 잊었던건 아니다. 꿈속에서도 명확히 기억하고 있었다. 하지만 그럼에도 어색하게 모른척 했다.,unknown,160
24," 자연산 연어 스테이크 길가다가 주운 레몬 즙내서 뿌렸다 역시 생선엔 레몬이지 포키샐러드 먹고 드라이폭챱 먹고 드라이스테이크 만들어먹었다. 요거랜드에서 아이스크림도 먹었다. 그냥 요리에 꽂혀서 슈시토페퍼 버터에 볶아내고, 돼지고기에 간장이랑 식초 입혀서 샐러리랑 볶아내고, 이것저것 만들어벌임",unknown,163
25," 만약에, IF라는 한글자의 단어는 엄청난 의미를 지닌다. 누군가에게는 꿈을 꾸게 해주기도하고, 누군가에게는 현실을 부정하게 해줄수도 있다. 결국은 터무니없는 희망을 지니게 하기도 한다. 만약이라는건 정말 슬픈 단어다. 만약에 내가 로또에 당첨되면집을 사야지, 차를 사야지, 명품을 사야지라는 터무니없는 희망, 이런 끝없는 희망을 가지게 한다.",두려움,192
26, 요즘 어떡해야할지모르겠다 이렇게 사는것도 지겹다..... 트위터나 하면서 지낸다 트위터에 우울트 좀 쓰고....나도 이렇게 우울하게살고싶지않은데. 곧있으면 학교가는데 내가 사회생활 잘할수있을까? 그냥 먹고자고폰하고밖에안한다 언제쯤 행복하게 살수있을지모르겠다 사실 왜사는지도 별로 이해안가서...뭐ㅋㅋ 에휴 언젠가는 나도 행복해지겠지 언젠가는??,두려움,193
27," 매 년 연말이 되면 무슨 생각을 했었지? 그때의 기분은 비교적 선명한데 말이다. 음, 올해는 무얼 했었지 또 한 해가 갔구나 나는 어떤 사람인가 어떤 사람으로서 살고 있는가. 다른 친구들은, 주변 사람들은 어떠한지 돌아보기도 하고. 한 해의 끝이란 것도 사실은 인간이 정해놓은 지구의 한 바퀴일 뿐인데. 그냥 그것을 생각하며 시원섭섭함을 떠올리는 내가 웃기게 느껴지기도 한다.",unknown,211
28," &amp;name1&amp;이 가족, 우리 가족이 같이 근처 식당으로 갔다. 아저씨께서 막국수를 시키셨다. 국수가 나왔다. 검은 면에 야채들이 있는데 거기에 무슨 국물과 식초를 막 뿌렸다. 먹어 보니 시큼시큼하며 맛없었다. 너무 먹기 싫은 나머지 조금 집어 엄마 안 볼 때 몰래 놔두었다. 이렇게 계속 반복하니 곧 그릇 바닥이 드러났다. 막국수와의 대결이 끔찍했다. '내가 앞으로 막국수 먹나 봐라'",분노,224
29,"요즘은 아무 생각 없이 하루하루를 보내고 있다. 뭔가를 해야겠다는 의지도 없고, 하고 싶은 것도 없다. 무기력한 상태가 익숙해진 건지, 그냥 감정 자체가 사라진 건지 나도 잘 모르겠다. 누군가는 휴식이 필요하다고 말하지만, 이건 그런 느낌과는 다르다. 그저 아무것도 하고 싶지 않고, 아무런 자극도 받지 못한다. 오늘도 침대에 누워 천장을 바라보며 하루를 보냈고, 그게 전부였다. 더는 의미도 느껴지지 않는다.",unknown,229
30,"요즘 자꾸 밤에 잠이 안 온다. 불도 끄고 폰도 멀리 두고 누워보지만, 눈을 감으면 오히려 생각이 더 많아진다. 미래에 대한 걱정, 내가 잘못 선택한 건 아닐까 하는 두려움, 지금 이대로 괜찮은 걸까 하는 질문들. 머릿속이 너무 복잡해서 몸은 피곤한데 정신은 계속 깨어있다. 이런 날이 몇 주째 이어지니까 점점 일상생활도 무기력해지고 있다. 이대로 괜찮은 건지, 정말 누군가와 상담이라도 받아야 하는 건지 고민만 커져간다.",두려움,236
31,"아침부터 몸이 무거웠다. 일어나기 싫은 기분이 자꾸만 이불을 잡아당긴다. 억지로 몸을 일으켜 일상으로 돌아가려 해도, 내 마음은 어디 한구석에 숨어버린 느낌이다. 누구 하나 연락해주는 사람도 없고, 나 역시 누군가에게 연락하고 싶은 마음도 들지 않는다. 외롭다는 말도 이젠 입에 담기 민망할 정도로 익숙해져버렸고, 슬프다는 감정조차 무뎌진 것 같다. 나 자신이 점점 흐려지고 있다는 느낌이 오늘 하루 내내 나를 따라다녔다.",unknown,236
32, 알바가 너무 하고싶다.. 막상 알바 하면 힘들겠지만 어쨌든 돈이 너무 벌고 싶다. 돈을 벌어야 된다 아니면 집에 계속 붙잡혀 있는 꼴이니까.. 용돈 그만 받고 싶다. 엄마도 아빠도 돈 잘 버는 주제에 동생 둘 걱정 하면서 자꾸 나한테 눈치 준다 얼른 돈 벌라고.. 그게 싫어서 굳이 빌어먹는 중. 돈 벌어야 된다.. 알바 하면 뭐 하지? 편의점이 무난하겠고 피씨방도 잘 할수 있다 사실 뭐가 됐든 돈만 주면 오케이다.. 하,분노,237
33, 5시까지 자소서를 제출하고 시리얼 먹고 6시에 운동하러 나가려고 했는데 아직도 나가지 못했다. 시리얼은 먹었고 자소서는 마무리를 하지 못했다. 입사 후 포부를 쓰라는데 일단 입사를 해봐야 구체적인 포부가 생가는 것 아닌가? 한국 기업들의 비합리적인 채용 프로세스에 분노하다가 그래도 별 수 없는 을의 입장이 되어 유튜브에 입사 후 포부 쓰는 법을 검색한다. 인생이 늘어진 테이프 같다. 망가진 테이프를 찾는 사람은 어디에도 없다.,분노,241
34,"며칠째 야근이 계속됐다. 체력은 바닥났고, 정신적으로도 한계에 다다른 느낌이다. 그런데도 팀장은 마감만을 외치며 우리를 쥐어짠다. 오늘은 결국 한 동료가 울음을 터뜨렸다. 그 모습을 보니 참을 수 없이 화가 났다. 왜 우리는 이렇게까지 해야 하는 걸까. 회사는 사람을 기계처럼 다룬다. 인간적인 배려도, 존중도 없는 환경 속에서 도대체 무엇을 배워야 한단 말인가. 나도 오늘은 울고 싶었지만 참았다. 대신 이 글로 분노를 쏟아낸다.",분노,241
35,"회사에서 또 회의가 길어졌다. 팀장은 계속 본인 말만 하고, 직원들은 의견을 내도 묵살당한다. 오늘은 특히 내가 준비해간 보고서 내용이 제대로 전달되지도 못했다. 몇 날 며칠 밤을 새며 준비했는데, 그 노력을 알아주기는커녕 비효율적이라고 일축하는 말에 참을 수 없는 화가 치밀었다. 이 직장에서 계속 일하는 게 맞나 싶은 생각이 든다. 이렇게 일방적인 소통 속에선 도무지 성장이 있을 수 없다. 오늘은 정말 퇴사를 심각하게 고민했다.",분노,242
36, 요즘은 꿈을 꿔도 무슨 꿈을 꿨었는지 기억이 안 나고 멍하니 일어난다. 재밌고 행복한 꿈을 꿀 때면 즐겁게 일어나기도 하고 일어나서 꿈을 곱씹으며 의미도 생각해보고 일기에 적기도 한다. 또 다시 자야지 하면서 다시 꾸려고 노력도 해본다. 요즘은 몸이 많이 피곤한가보다 아무것도 기억이 나지 않는다. 몸이 물먹은 솜마냥 축축 쳐지고 기운이 없다. 머릿속에는 더러운 콧물이 가득 찬 느낌이다. 무기력증에 걸린 것 마냥 아무런 의지도 활력도 없다.,두려움,248
37, 세뇨리따라는 말이 좋다 어감이 좋다 아 러빗 웬 유 콜 미 세뇨리따 아 러빗 웬 유           세뇨리따 오늘은 너무 추웠지 그래도 카페에서 마감을 하고 나오는데 집에 들어가기 싫어서 산책을 결심했다 바람은 자꾸 불어오는데 나는 계속 걸어갔다 걷는데 뒤에서 어떤 아주머니가 &amp;name1&amp; 라고 소리쳤다 나를 부르는 것이 아님을 알면서도 나는 뒤를 돌아보았는데 아무도 없었다 무섭고 슬픈 일이네.라고 생각했다 그림자가 늘어났다 나보다 작았는데 길게,두려움,261
38," 얼마 전에 상사가 사직서를 제출하려고 했었다.  부장 막말을 더이상 못참겠다는 이유였는데 결국 그만두지 않았지만 나는 몇날 며칠을 정말 많이 걱정했다. 나혼자 일을 할 수 있다는 자신이 없었다. 일 한지 일 년이 넘었는데 아직 못하는게 많다니 창피하다. 그래서 상사가 언젠간 그만둘거라고 계속 지끼길래 ""그럼 저 일 가르쳐주시면 안돼요?""했더니 더 좋은  상사가 올테니 걱정 말라고 했다. 씨발 지랄하네... 나는 영원히 못 올라간다 이건가? 닥치고 가르쳐줘라 시발!",분노,262
39, 내가 사는 지역은 눈이 잘 내리지 않는 지역이라서 눈을 보기 힘들다. 그래서 올해도 별 기대 없이 올 겨울을 보냈다 특히 이번 겨울은 제법 춥지 않아서 더 기대가 없었다.  겨울 방학이라서 기본 새벽3시에 자는 데 그날 따라 일찍 자고싶어서 일찍 잤다. 너무 추워서 일찍 일어난 후 잠결에 인스타에 들어갔다. 난리가 났다. 눈이 왔던 것이다 하필 내가 자고 있을 때 눈이 꽤 많이 왔다. 눈이 너무 그리웠는데 나만 보지 못 해서 억울 했다. 2020년 겨울엔 꼭 보고싶다!!,분노,266
40," 내 나이 60대지만 나는 일자리를 갖고있는 행복한 사람이다. 오늘도 아침 일찍 화원으로 출근했다. 요즈음은 코로나 때문에 화원에 꽃 사러 오시는 분들이 별로 없다. 하루종일 손님을 기다렸지만 고작 두분밖에 오질않았다. 다른 때 같았으면 손님들 봄꽃사러  문전성시를 이룰때지만 요즈음은 코로나 때문에 손님이 오질않아  큰 걱정이다. 이대로 가다가는 생계에 걱정 임대료 걱정 모든 걱정이 태산이다. 내일은 또 몇 분이나 오실까 걱정된다. 코로나가 하루 빨리 종식되어서 봄꽃사러 오시는 손님이  많이 오셨으면 좋겠다,",두려움,287
41," 12월 30일 그 세계는 게임이었어. 이상하게 들리겠지만 정말로 그렇게밖에 표현할 수 없는 곳이었어. 나는 일단 눈앞에 있는 커다란 저택의 담을 뛰어넘었어. 어제 왔던 비가 고여있었지만, 큰 문제는 아니었거든. 담벼락에 걸터앉자(어떻게 이게 가능했는지는 나도 몰라. 일단 나는 체육 시간에 아이들끼리 피구할 때만 되면 혼자 남겨질 정도로 굉장한 몸치였고, 젖은 곳은 또 몸서리칠 정도로 싫어했거든.) 앞에 있는 집주인의 것으로 보이는 차가 있었어. 자동차의 뒤꽁무니 말이야. 올라가서 보고 있자니 살인을 저지른 증거였지 뭐야.",두려움,295
42, 우리나라 사람들은 맨날 바쁜 것 같다. 언제나 모든 것을 빨리빨리 한다. 가끔은 빨리빨리하라고 재촉하는 사람들이 싫기도 하고 빨리 우리나라를 떠나거나 바쁜 도심을 떠나서 여유롭게 살고싶다. 하지만 나도 성격이 너무 급해서 빨리빨리가 아니라면 답답해서 미칠지도 모른다. 어떻게 보면 빨리빨리라는 것이 대한민국 국민들의 유전자에 있을 수도 있는 것 같다. 빨리빨리하는 습관이 우리나라의 성장을 도운 것 같기도 하다. 하지만 과연 행복을 가져다 주었을까? 나도 잘 모르겠다. 빨리빨리는 실증이 나는데 빨리빨리 안하면 또 답답하고... 정말 아이러니 하다.,unknown,308
43, 밤에 버스 탔는데 어떤 여학생이랑 아저씨랑 어디가 용하다고 지들끼리 얘기하는 거 듣고 홀린 듯이 같이 내림 이름이 문단선역인가 그랬음 그 언니가 막 날을 잘 잡아야된다고 오늘은 괜찮은 날이라고 그랬음 인도 바로 옆에 뭐가 둥둥 떠있는 연두색 늪? 같은 게 있었고 비가 왔나 안 왔나 기억이 안 남 아무튼 평범한 거리 슬슬 따라가다가 집 하나 들어가서 바닥도 뜯고 뭐 열고 막 이랬는데 알고 보니까 오늘이 날이 아니었음 밖에서 곽철용씨가 당신들 뭐냐고 쫓아와서 나 막 도망갔는데 밖에 나오니까 소 말 돼지 이런 거 다 상체가 잘려나가고 하체 밖에 없었음 너무 무서웠음,두려움,317
44," 독서편지/ 사만다에게 사만다야 넌 어떻게 그걸 알아낸 거니? 그런데 사막 정령 지니는 정말 나쁘다! 자기 오아시스도 아닌데 자기꺼라고 우기다니 어이없지 않니? 그리고 죄 없는 딸에게 그런 벌을 내리다니 그 아빠,엄마가 얼마니 속상 했겠니 하지만 니가 꾀를 써서 그 딸을 구해냈잖아 정말 잘했어 그럼 안녕 &amp;lt; 다음 이야기 예고편&amp;gt;지어낸거ㅋㅋ^^ 또 사만다와 토끼조수는 또 사건이 들어 왔다. 글쎄 엄청 간단한 미론데 돌아온 사람이 한명도 없고 다 죽어있다던데 그 미로에서 10명의 악마들을 만나게 된다 사만다와 토끼 조수에게는 과연 어떤 일이 벌어질까?!",unknown,324
45, 코로나 때문에 학원도 쉬고 학교 개학도 일주일 더 연기됐다 이번에 학원을 한 달 동안 끊고 인강을 들으면서 문제집을 풀기로 했는데 무슨 인강이 좋은지 무슨 학습지가 좋은지 아직 알아봐야 할 것 같다 며칠 동안 안 나가고 집에 있으니 심심하다 할 것도 없다 평소에 가기 싫던 학교도 가고 싶다 그리고 일주일? 동안 애기들이 왔다 갔는데 내 물건 만지지 마라 시끄럽다 물은 니가 알아서 떠다 먹어라 소리 지르지 마라 귀청 떨어진다 나도 어렸을 때 저랬을 거라고 하지만 그렇다고 해서 내가 꼭 놀아줘야 하나... 너네한테 관심 주기 싫다 너네랑 놀기 싫다 나 따라 하지 마라 뭐가 이쁜지 모르겠다,분노,331
46, 연말정산을 하면서 깜짝 놀란 것은 내가 생각한 것보다 도서구입비가 많이 나와서였다. 의도하고 책을 많이 구매한 것은 아니지만 그동안 이렇게 많은 책을 구입했나 싶었다. 이제와 생각해보면 구입한 책들 중에서 실제로 읽은 책은 몇 권 되지 않는 것 같다. 사서 귀하게 모셔놓고 정작 읽은 책들은 도서관에서 빌리거나 이북으로 가볍게 읽은 것 같다. 책의 무게가 가벼워진 만큼 책에 대한 기대도 가벼워진 것일까? 사실 도서정가제 때문에 책을 사지 말아야 겠다고 생각한 것도 얼마 되지 않았다. 어느 순간 습관적으로 책을 사왔던 것 같다. 책이 늘어날 수록 마음의 무게도 늘어나야 하는데 책장만 늘어나는 것 같아서 고민이다.,unknown,345
47, 1989년도 그 당시 완공된 옛날 한옥 집에 30년 넘게 거주중입니다. 떠날생각은 없지만 아무래도 오래되다보니 이곳저곳 손대기 바쁘네요. 지붕 기와를 비롯해 천장 물새고 이곳저곳에서 하자가 생겨나기마련입니다. 그래도 당시에는 셋방살이에서 벗어나  타지에서 내집을 장만하게되서 기뻣죠. 근데 하필 우리 동네가 주택 재개발 구역으로 지정된지도  근 10여년이 넘어갑니다. 미뤄지고 미뤄져서 오늘날 이르곤 있으나  걱정이 앞서는군요.정도  많이 들었는데요. 얼마 받지도 못한채  쫒겨나야될수도 있습니다.이제는 노후 보낼 새 터전 찾아야되지요. 30년넘게 자영업으로 꾸준히 저축은해왔으나 마음 한 구석이 시리는군요.나이도그렇구요.,두려움,349
48, 오늘 엄마아빠와함게 남포동에 영화를 보러갔다. 영화에서는 자인한장면들이 많이 나왔는대 때도로일본인들이 사람을죽이는 장면이였다. 일본인들이 임산부보고 “이게웬 떡 이냐”라고말 했을때 난무슨 뜻인지몰라서 아빠에게 물 어보니 한번에두명을죽일수있어서라고말했다. 나는 너무화가나고 일본인들이 사람을 죽이면서 웃는소리가 너무얄미웠다. 난 영화를 보고나서 일본 사람들이 너무실고 화가났다.그리고 내가 그전투에있었다면난 내손으로 일본인과 맛서싸울것이다. 나는 영화를보고 나서 이런 생각을햇다. 나는 그때싸운사람들은 목숨이 위험하다는걸알고있었겠지만 우리나라를지키기 위해 싸웠다는 것을 알았다. 난 우리 나라가 대단하다고 생각한다. 대한독립만세,분노,351
49," 어쩌면 당연한 듯 보이지만 항상 우리에게 다른 색의 풍경을 비추는 계절은, 나와 또 여럿의 삶처럼 빠르게도, 느리게도 흘러가곤 한다. 내가 계절이 아니라, 속은 바라볼 수 없을지언정 여느달의 꽃은 다른 때보다 늦게 피기도 하며, 오려던 비나 눈조차도 누구 몰래 하루 며칠 지나 내릴 수 있다. 그것을 과연, 계절의 결정이라고 말할 수 있을까? 우리의 삶같은 계절은, 결정하지 못한. 항상, 단 1초도 빠트리지 않고 개의하지 않고 있던 선택에 있어 무너지는 결과는 결국 눈으로 보이게끔 겉으로 드러나고 마는데, 그럼에도 우리는, 다음 선택을 포기해선 안 됨을 잊을 수 없다. 다음 계절을 포기해선 안 됨을, 잊을 수 없다. 계속해서 노력해야만 한다는 자체로 나와 누군지 모를 사람의 삶이고, 반복된다는 것이다.",unknown,397
50," 약간 정상으로 돌아왔다. 밤에는 일찍 자려고 하는중이고, 낮에는 그래도 알람은 듣고 일어난다. 생리 전이라 기분이 나빴던건가? 음 요즘?은 괜찮다. 같은 노래 듣는게 지루했었는데 지금 일주일째 같은 노래를 듣고 있다. 일기에 뭘 쓰지. 아 밥 먹는게 귀찮다. 돼 있는걸 먹는것도 귀찮고, 딱히 끌리는 것도 없어서 뭘 먹는게 귀찮아졌다. 그래도 약을 먹어야 하니까 나름 잘 챙겨먹으려고 하긴 한다. 아 약 먹는걸 자꾸 까먹는다. 그래서 초저녁에 아침약을 먹을 때도 있다. 거의 저녁약이랑 취침전 약이랑 같이 먹는데 괜찮겠지? 아 기억력이 나빠진건지 아니면 멍때리느라 잊는건가... 요새 하는게 없어서 매일 지루하다. 게임이라도 하려고 했 는데 딱히 끌리는 것도 없고. 진짜 책이라도 읽을까. 맘만 먹고 있다. 마음만.",unknown,401
51," 주말에 언니와 양양에 다녀왔다. 엄마 아빠와도 같이 갔는데 토요일날 먼저 가서 언니가  회사에서  인수인계 해주느라 집에서 언니를 기다렸고, 6시 넘어서 저녁을 먹으러 갔다. '스바라시이'라는 초밥집을 갔는데 참치 전문점이었지만 연어초밥도 있어서 나는 그것을 먹었다. 12피스에 만오천원이었고 다른곳보다 저렴한 편에 연어가 두꺼웠다.  오늘은 엄마와 안과를 갔다가 백화점에 잠깐 들려서 옷 구경을 했다. 날씨가 조금 추워서 후드티를 입고 갔더니 백화점 안은 더워서 땀이나 짜증이 났다. 더 시기가 지나기전에 아르바이트를 구해야하는데 공고가 이제 거의 올아오지 않는다. 이번 여름방학에도 일을 하지 않으면 엄마가 또 잔소리를 할텐데.. 얼마전에 올라온 스시집 서빙과 카페 공고를 보자마자 연락을 했어야 했다. 다른 공고를 기다리다가 순식간에 공고가 내려가 버렸다.",분노,427
52," 너무나도 끔찍한 날이다. 저녁을 먹으려고 싱크대 하부장에서 오랜만에 뜰채(건지기)를 들었는데 이상한 검은 물체가 있었다. 처음에는 플라스틱 같은 게 떨어졌나 하고 치우려는데 단단하지 않았고 가장 먼저 든 생각은 '쥐똥인 것 같다'였다. 다행히도 쥐는 안 보이는데 앞으로 어떻게 이 집에서 살지 끔찍해졌다. 이런 일이 없으려고 비싸고 좋은 콘도에 싸는데, 이런 걱정을 해야 한다니 너무 심란하다. 그 검은 물체가 어디서 뚝 떨어지진 않았을 것 같고, 거기 보관했던 식기도 찝찝해서 다 버려야 할 것 같다. 혹시 언제라도 쥐의 실물을 마주하게 될까 봐 싱크대 하부장을 캐리어 두 개로 막아뒀고 내일 오전에 관리사무실에 가보려 한다. 관리사무실은 영어가 잘 안 통해서 갈 때마다 스트레스를 받는데 이 일은 어떻게 설명할지. 우울하다. 방콕을 뜨는 것만이 답일 것 같다.",분노,428
53," 친구 생일이라서 28,500원짜리 선물 했다. 역시 대화는 간만에 해야 반가운듯 일기장이 생기니 쓰고 싶은 생각이 드네. 역시 아날로그 좋당. 배달음식 먹으려다 배달비가 3500원이 붙는 거 보고 밑에 내려가서 신참떡 사왔다... 순한맛 먹었는데.. 엄청 짜고 ㅠㅠ 엉덩이 때문에 매운거 피했는데 ㅠㅠ 에휴 먼가 아쉬웠다. 독서노트... 위메프 키트 사서 쓰는 것으로... 그리고 정말 또... 다이어트 진짜 해야해 ㅠㅠ 피티 할 수 있으면 일주일에 3번 받고 싶음ㅋ 런데이는 무릎 아파서 ... 으아아아 일단, 닥터주스 그거 한달치 사서 아침에 먹고 점심 반식 저녁 샐러드 또는 안먹기 ㅠㅠ 47~48키로까지 빼고 운동 등록할까보다.. 한달만에 6키로가 빠졌으면 좋겠네. 으.. 그럼 밀가루 끊어야하나 ㅎㅎ 일단 일주일만이라도 해보자 ㅋㅋㅋ 살이 안빠지면 운동.. 요가해야지 모",unknown,437
54," 4/8 월     날씨 미세먼지가없는맑은날씨 주제:자고일어났더니 TV와 신문에 내가 나온다! 내가잠든사이 무슨일이 있었던 것일까? 내가잠든 사이 무슨 일이있었는지 TV, 신문, 인터넷을 보았다. 신문이랑 그런데를 보았는데 세상에! 나의 잠고대로 사람을 죽이고 했고 경찰을 또 죽여서 암살 당했다고 했는데 나는 아직 살아있고 그래서 정말 죽었는지 살았는지 테스트를 하로 갔다 엘레베이터를 타고 내려가고 있는데 어떤아줌마가 타고 방귀를 뀌었다 그래서 ""모지?"" 생각을 하고 있는데1층에 도착해서 테스트를 해보았다. 근데 알아본사람이3명 못알아본사람이20명 그래서 무당을갔는데 들어가자마자 귀신!! 이라고해서일단 뛰었다. 집으로온 나는 엄청놀랐다. 집에서 내가 죽어있는모습을 그때나는알았 다 내가 귀신이었것을 알아본3명은 그럼귀신이었다. 그래서 알아본3명과친구가 되고 평생친하게놀았다.",unknown,437
